date,ticker,adj_close,close,high,low,open,volume,company,daily_return,next_day_return,log_volume
2023-10-25,META,296.92254638671875,299.5299987792969,310.8800048828125,298.8399963378906,310.0,42192500,Meta,-0.04165739143248093,-0.03732502545336591,17.557753038092777
2023-10-26,META,285.83990478515625,288.3500061035156,295.0,279.3999938964844,295.0,66684100,Meta,-0.03732502545336591,0.029061853206812982,18.015477101659034
2023-10-27,META,294.1469421386719,296.7300109863281,299.30999755859375,292.9700012207031,294.4800109863281,29596300,Meta,0.029061853206812982,0.019984423060303236,17.203159911481137
2023-10-30,META,300.0252990722656,302.6600036621094,309.3999938964844,299.04998779296875,299.0899963378906,28435100,Meta,0.019984423060303236,-0.004592609937170589,17.16313485550954
2023-10-31,META,298.64739990234375,301.2699890136719,303.67999267578125,296.8599853515625,303.30999755859375,19434200,Meta,-0.004592609937170589,0.03511815458654621,16.78254495857072
2023-11-01,META,309.1353454589844,311.8500061035156,312.739990234375,301.8500061035156,301.8500061035156,20434600,Meta,0.03511815458654621,-0.0031427240976502624,16.832740100529087
2023-11-02,META,308.163818359375,310.8699951171875,318.82000732421875,308.3299865722656,317.29998779296875,21631800,Meta,-0.0031427240976502624,0.011998718150841414,16.889675012219957
2023-11-03,META,311.86138916015625,314.6000061035156,315.54998779296875,311.0199890136719,312.54998779296875,16764300,Meta,0.011998718150841414,0.003814337776593124,16.634762183357314
2023-11-06,META,313.0509338378906,315.79998779296875,318.3299865722656,314.45001220703125,315.9800109863281,12887700,Meta,0.003814337776593124,0.009562925830077118,16.371783926100612
2023-11-07,META,316.04461669921875,318.82000732421875,321.0,315.1199951171875,317.05999755859375,14055600,Meta,0.009562925830077118,0.0030111576213167623,16.458531450845967
2023-11-08,META,316.99627685546875,319.7799987792969,321.3299865722656,314.8800048828125,318.1400146484375,13609700,Meta,0.0030111576213167623,0.002407932584048922,16.42629333176898
2023-11-09,META,317.75958251953125,320.54998779296875,324.17999267578125,318.79998779296875,319.4200134277344,16103100,Meta,0.002407932584048922,0.02564359655355286,16.59452235800383
2023-11-10,META,325.9080810546875,328.7699890136719,329.1000061035156,319.4599914550781,319.94000244140625,19096200,Meta,0.02564359655355286,0.001277417851788032,16.764999920343527
2023-11-13,META,326.32440185546875,329.19000244140625,332.3299865722656,325.70001220703125,326.20001220703125,16908900,Meta,0.001277417851788032,0.021628639601354083,16.643350668492786
2023-11-14,META,333.3823547363281,336.30999755859375,338.1000061035156,333.3299865722656,334.5400085449219,17179400,Meta,0.021628639601354083,-0.010704327876097541,16.659221549579897
2023-11-15,META,329.813720703125,332.7099914550781,338.3999938964844,330.0199890136719,337.92999267578125,14531200,Meta,-0.010704327876097541,0.004448367294215716,16.49180861988577
